what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.jsdt.core,1.1.0.v201006030738,"org.eclipse.wst.jsdt.core",1303312297671
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.200.v201004150600,"org.eclipse.wst.jsdt.manipulation",1303312297681
started,bundle,org.eclipse.wst.jsdt.ui,1.1.0.v201005200157,"org.eclipse.wst.jsdt.ui",1303312297712
started,bundle,org.eclipse.wst.sse.core,1.1.500.v201006020308,"org.eclipse.wst.sse.core",1303312297720
started,bundle,org.eclipse.wst.sse.ui,1.2.0.v201006030742,"org.eclipse.wst.sse.ui",1303312297739
os,sysinfo,,,"linux",1303312297790
arch,sysinfo,,,"x86",1303312297790
ws,sysinfo,,,"gtk",1303312297790
locale,sysinfo,,,"en_GB",1303312297790
processors,sysinfo,,,"1",1303312297800
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1303312297800
java.runtime.version,sysinfo,,,"1.6.0_24-b07",1303312297800
java.specification.name,sysinfo,,,"Java Platform API Specification",1303312297800
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303312297800
java.specification.version,sysinfo,,,"1.6",1303312297800
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1303312297800
java.version,sysinfo,,,"1.6.0_24",1303312297800
java.vm.info,sysinfo,,,"mixed mode, sharing",1303312297800
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1303312297800
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1303312297800
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1303312297800
java.vm.specification.version,sysinfo,,,"1.0",1303312297800
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1303312297800
java.vm.version,sysinfo,,,"19.1-b02",1303312297800
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1303312298017
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1303312298740
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1303312299086
started,bundle,org.eclipse.mylyn.context.core,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.core",1303312299690
started,bundle,org.eclipse.mylyn.context.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.context.ui",1303312299851
started,bundle,org.eclipse.dltk.core.index.sql.h2,2.0.0.v20100616-2015,"org.eclipse.dltk.core.index.sql.h2",1303312300284
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.tasks.ui",1303312301530
started,bundle,org.eclipse.mylyn.team.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.team.ui",1303312301638
started,bundle,org.eclipse.php.debug.daemon,2.2.0.v20100616-1900,"org.eclipse.php.debug.daemon",1303312301688
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1303312301733
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1303312302428
started,bundle,org.eclipse.update.core,3.2.400.v20100512,"org.eclipse.update.core",1303312302470
started,bundle,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui",1303312302627
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1303312302745
started,bundle,org.eclipse.php.server.core,2.2.0.v20100616-1900,"org.eclipse.php.server.core",1303312302749
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1303312303499
started,bundle,org.eclipse.team.ui,3.5.100.I20100527-0800,"org.eclipse.team.ui",1303312303707
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1303312303929
started,bundle,org.eclipse.team.cvs.ui,3.3.300.I20100526-0800,"org.eclipse.team.cvs.ui",1303312304790
started,bundle,org.eclipse.php.debug.core,2.2.0.v20100616-1900,"org.eclipse.php.debug.core",1303312305155
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1303312307064
